"";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector"
"1";4,6;3,2;1,4;0,2;"setosa";"Ahmed Adoudi"
"2";5,6;2,8;4,9;2;"virginica";"Ahmed Adoudi"
"3";5;3,3;1,4;0,2;"setosa";"Ahmed Adoudi"
"4";6;2,2;5;1,5;"virginica";"Ahmed Adoudi"
"5";6,4;3,2;4,5;1,5;"versicolor";"Ahmed Adoudi"
"6";6,7;3,3;5,7;2,1;"virginica";"Ahmed Adoudi"
"7";5,7;2,6;3,5;1;"versicolor";"Ahmed Adoudi"
"8";7,2;3,2;6;1,8;"virginica";"Ahmed Adoudi"
"9";6,3;2,5;5;1,9;"virginica";"Ahmed Adoudi"
"10";5,7;3;4,2;1,2;"versicolor";"Ahmed Adoudi"
"11";6,7;3,3;5,7;2,5;"virginica";"Ahmed Adoudi"
"12";4,9;2,5;4,5;1,7;"virginica";"Ahmed Adoudi"
"13";6,2;2,2;4,5;1,5;"versicolor";"Ahmed Adoudi"
"14";5,9;3;4,2;1,5;"versicolor";"Ahmed Adoudi"
"15";5,7;2,5;5;2;"virginica";"Ahmed Adoudi"
"16";6,3;2,7;4,9;1,8;"virginica";"Ahmed Adoudi"
"17";4,4;2,9;1,4;0,2;"setosa";"Ahmed Adoudi"
"18";4,8;3,4;1,6;0,2;"setosa";"Ahmed Adoudi"
"19";4,6;3,4;1,4;0,3;"setosa";"Ahmed Adoudi"
"20";6,6;3;4,4;1,4;"versicolor";"Ahmed Adoudi"
"21";5,4;3,9;1,7;0,4;"setosa";"Ahmed Adoudi"
"22";4,8;3,4;1,9;0,2;"setosa";"Ahmed Adoudi"
"23";5,6;2,5;3,9;1,1;"versicolor";"Ahmed Adoudi"
"24";5,9;3;4,2;1,5;"versicolor";"Ahmed Adoudi"
"25";6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi"
"26";6,7;2,5;5,8;1,8;"virginica";"Ahmed Adoudi"
"27";6,3;2,8;5,1;1,5;"virginica";"Ahmed Adoudi"
"28";6,7;3,3;5,7;2,1;"virginica";"Ahmed Adoudi"
"29";5;2;3,5;1;"versicolor";"Ahmed Adoudi"
"30";6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi"
"31";6,9;3,1;5,1;2,3;"virginica";"Ahmed Adoudi"
"32";5,1;3,8;1,5;0,3;"setosa";"Ahmed Adoudi"
"33";5,9;3,2;4,8;1,8;"versicolor";"Ahmed Adoudi"
"34";5,4;3,7;1,5;0,2;"setosa";"Ahmed Adoudi"
"35";5,6;2,7;4,2;1,3;"versicolor";"Ahmed Adoudi"
"36";6,5;3;5,8;2,2;"virginica";"Ahmed Adoudi"
"37";4,8;3,4;1,9;0,2;"setosa";"Ahmed Adoudi"
"38";6,3;2,8;5,1;1,5;"virginica";"Ahmed Adoudi"
"39";4,4;3;1,3;0,2;"setosa";"Ahmed Adoudi"
"40";5,5;3,5;1,3;0,2;"setosa";"Ahmed Adoudi"
"41";6,4;3,1;5,5;1,8;"virginica";"Ahmed Adoudi"
"42";6,1;2,8;4,7;1,2;"versicolor";"Ahmed Adoudi"
"43";7,1;3;5,9;2,1;"virginica";"Ahmed Adoudi"
"44";4,9;3;1,4;0,2;"setosa";"Ahmed Adoudi"
"45";6,6;2,9;4,6;1,3;"versicolor";"Ahmed Adoudi"
"46";6;2,2;4;1;"versicolor";"Ahmed Adoudi"
"47";5,7;3,8;1,7;0,3;"setosa";"Ahmed Adoudi"
"48";6,4;3,2;5,3;2,3;"virginica";"Ahmed Adoudi"
"49";5,8;2,7;5,1;1,9;"virginica";"Ahmed Adoudi"
"50";6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi"
"51";5;3,4;1,5;0,2;"setosa";"Ahmed Adoudi"
"52";6,7;3,3;5,7;2,1;"virginica";"Ahmed Adoudi"
"53";6,4;2,8;5,6;2,1;"virginica";"Ahmed Adoudi"
"54";4,8;3;1,4;0,1;"setosa";"Ahmed Adoudi"
"55";6;3,4;4,5;1,6;"versicolor";"Ahmed Adoudi"
"56";6,3;3,3;6;2,5;"virginica";"Ahmed Adoudi"
"57";7,2;3,2;6;1,8;"virginica";"Ahmed Adoudi"
"58";5,4;3,4;1,5;0,4;"setosa";"Ahmed Adoudi"
"59";5,7;2,8;4,1;1,3;"versicolor";"Ahmed Adoudi"
"60";5,6;2,5;3,9;1,1;"versicolor";"Ahmed Adoudi"
"61";5;3,2;1,2;0,2;"setosa";"Ahmed Adoudi"
"62";6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi"
"63";5,5;4,2;1,4;0,2;"setosa";"Ahmed Adoudi"
"64";5,1;3,8;1,5;0,3;"setosa";"Ahmed Adoudi"
"65";4,6;3,6;1;0,2;"setosa";"Ahmed Adoudi"
"66";5,7;2,5;5;2;"virginica";"Ahmed Adoudi"
"67";5,4;3,4;1,7;0,2;"setosa";"Ahmed Adoudi"
"68";5,4;3,9;1,7;0,4;"setosa";"Ahmed Adoudi"
"69";5;3,4;1,5;0,2;"setosa";"Ahmed Adoudi"
