"";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector"
"1";6;2,2;5;1,5;"virginica";"Ima Weiner"
"2";6,4;2,7;5,3;1,9;"virginica";"Ima Weiner"
"3";6,9;3,1;4,9;1,5;"versicolor";"Ima Weiner"
"4";5,5;2,4;3,7;1;"versicolor";"Ima Weiner"
"5";5,5;2,6;4,4;1,2;"versicolor";"Ima Weiner"
"6";4,9;3,1;1,5;0,2;"setosa";"Ima Weiner"
"7";4,8;3;1,4;0,1;"setosa";"Ima Weiner"
"8";5,4;3,4;1,5;0,4;"setosa";"Ima Weiner"
"9";5,1;3,3;1,7;0,5;"setosa";"Ima Weiner"
"10";4,8;3,1;1,6;0,2;"setosa";"Ima Weiner"
"11";5,5;2,4;3,8;1,1;"versicolor";"Ima Weiner"
"12";4,9;3,1;1,5;0,2;"setosa";"Ima Weiner"
"13";6,7;2,5;5,8;1,8;"virginica";"Ima Weiner"
"14";5,8;2,8;5,1;2,4;"virginica";"Ima Weiner"
"15";5;3,4;1,5;0,2;"setosa";"Ima Weiner"
"16";6,6;3;4,4;1,4;"versicolor";"Ima Weiner"
"17";6;2,7;5,1;1,6;"versicolor";"Ima Weiner"
"18";5,7;4,4;1,5;0,4;"setosa";"Ima Weiner"
"19";6,8;3;5,5;2,1;"virginica";"Ima Weiner"
"20";7;3,2;4,7;1,4;"versicolor";"Ima Weiner"
"21";5,8;2,7;3,9;1,2;"versicolor";"Ima Weiner"
"22";6,2;2,2;4,5;1,5;"versicolor";"Ima Weiner"
"23";4,6;3,2;1,4;0,2;"setosa";"Ima Weiner"
"24";6;2,9;4,5;1,5;"versicolor";"Ima Weiner"
"25";4,6;3,4;1,4;0,3;"setosa";"Ima Weiner"
"26";6;2,2;5;1,5;"virginica";"Ima Weiner"
"27";5,9;3;4,2;1,5;"versicolor";"Ima Weiner"
"28";5,1;3,8;1,5;0,3;"setosa";"Ima Weiner"
"29";6,5;3;5,8;2,2;"virginica";"Ima Weiner"
"30";5,1;3,5;1,4;0,2;"setosa";"Ima Weiner"
"31";5,9;3,2;4,8;1,8;"versicolor";"Ima Weiner"
"32";5,9;3,2;4,8;1,8;"versicolor";"Ima Weiner"
"33";5,1;3,4;1,5;0,2;"setosa";"Ima Weiner"
"34";5,7;4,4;1,5;0,4;"setosa";"Ima Weiner"
"35";6,9;3,2;5,7;2,3;"virginica";"Ima Weiner"
"36";5,1;2,5;3;1,1;"versicolor";"Ima Weiner"
"37";5,7;2,8;4,5;1,3;"versicolor";"Ima Weiner"
"38";5,5;2,4;3,8;1,1;"versicolor";"Ima Weiner"
"39";6,4;2,8;5,6;2,2;"virginica";"Ima Weiner"
"40";5,1;3,5;1,4;0,2;"setosa";"Ima Weiner"
"41";5,7;4,4;1,5;0,4;"setosa";"Ima Weiner"
"42";5,4;3,7;1,5;0,2;"setosa";"Ima Weiner"
"43";5,8;2,6;4;1,2;"versicolor";"Ima Weiner"
"44";4,6;3,4;1,4;0,3;"setosa";"Ima Weiner"
"45";5,5;2,6;4,4;1,2;"versicolor";"Ima Weiner"
"46";7,3;2,9;6,3;1,8;"virginica";"Ima Weiner"
"47";5,8;2,8;5,1;2,4;"virginica";"Ima Weiner"
"48";5,5;2,4;3,8;1,1;"versicolor";"Ima Weiner"
"49";6,4;2,8;5,6;2,1;"virginica";"Ima Weiner"
"50";6,8;2,8;4,8;1,4;"versicolor";"Ima Weiner"
"51";5,8;4;1,2;0,2;"setosa";"Ima Weiner"
"52";6,2;3,4;5,4;2,3;"virginica";"Ima Weiner"
