"X","Y","Z","Number","Box","Name","Sub_type","Sub_species","liveSub","Height_cm","Snow_m","Collector","Location","Longitude","Latitude","xy_error","Elevation","z_error","Date","Remark","Attachments"
"11.06023000","47.44574460","1751.23","1","1","DID","herbs","heidelbeere","1","10","999","Morten Bodien","laengenfelder","11.06023","47.4457446","4.000","1751.23","2.422","2023-06-01T19:09:18","",""
"11.06020310","47.44574710","1757.88","2","1","DID","herbs","heidelbeere","0","10","999","Morten Bodien","laengenfelder","11.0602031","47.4457471","6.000","1757.88","5.913","2023-06-01T19:09:09","",""
"11.06025210","47.44559470","1756.34","3","1","MER","aerial litter","kiefer","0","20","999","Morten Bodien","laengenfelder","11.0602521","47.4455947","4.000","1756.34","2.953","2023-06-01T19:08:58","",""
"11.06019710","47.44534510","1635.66","4","1","MER","herbs","bewimperte alpenrose","1","20","999","Morten Bodien","laengenfelder","11.0601971","47.4453451","4.587","1635.66","9.535","2023-06-01T19:08:43","",""
"11.06024300","47.44533770","1637.96","5","1","DID","herbs","bewimperte alpenrose","1","20","999","Morten Bodien","laengenfelder","11.060243","47.4453377","4.000","1637.96","5.747","2023-06-01T19:08:32","",""
"11.06017910","47.44506980","1639.16","6","1","DID","leaf","kiefer","1","25","999","Morten Bodien","laengenfelder","11.0601791","47.4450698","4.000","1639.16","9.368","2023-06-01T19:08:15","",""
"11.05783560","47.44403460","1654.71","7","1","DID","leaf","Kiefer ","1","40","999","Morten Bodien","laengenfelder","11.0578356","47.4440346","15.428","1654.71","9.082","2023-06-01T15:05:31","",""
"11.06172540","47.44204340","1706.65","8","2","MER","herbs","seidelbast","1","15","999","Morten","Osterfelder","11.0617254","47.4420434","4.000","1706.65","2.604","2023-06-02T09:51:08","",""
"11.05955620","47.43856670","1771.98","9","1","DID","ground litter","gras","0","5","2","Morten","tal hinter hochalm","11.0595562","47.4385667","5.000","1771.98","3.483","2023-06-02T10:45:45","",""
"11.05949570","47.43857170","1770.79","10","1","DID","ground litter","gras","0","0","4","Morten","tal hinter hochalm","11.0594957","47.4385717","8.891","1770.79","2.441","2023-06-02T10:47:29","",""
"11.05951410","47.43862480","1770.91","11","1","DID","ground litter","gras","0","0","4","Morten","tal hinter hochalm","11.0595141","47.4386248","4.000","1770.91","2.480","2023-06-02T10:52:34","",""
"11.05950710","47.43866000","1769.21","12","1","DID","ground litter","gras","0","0","5","Morten","tal hinter hochalm","11.0595071","47.43866","3.997","1769.21","2.866","2023-06-02T10:54:21","",""
"11.05948920","47.43865830","1769.16","13","1","DID","ground litter","gras","0","0","5","Morten","tal hinter hochalm","11.0594892","47.4386583","4.000","1769.16","2.725","2023-06-02T10:55:22","",""
"11.05949100","47.43867270","1768.94","14","1","DID","ground litter","gras","1","0","6","Morten","tal hinter hochalm","11.059491","47.4386727","6.000","1768.94","2.563","2023-06-02T10:59:57","",""
"11.05949600","47.43885380","1762.08","15","1","did","ground litter","gras","1","0","4","Morten","tal hinter hochalm","11.059496","47.4388538","3.573","1762.08","3.392","2023-06-02T11:06:36","halb lebendig halb tot aber von einem gras",""
"11.05947630","47.43888410","1765.73","16","1","DID","leaf","Nadel kiefer","0","0","4","Morten","tal hinter hochalm","11.0594763","47.4388841","4.400","1765.73","2.414","2023-06-02T11:10:50","",""
"11.05947750","47.43890300","1765.85","17","1","DID","ground litter","gras","0","0","5","Morten","tal hinter hochalm","11.0594775","47.438903","3.861","1765.85","2.400","2023-06-02T11:12:17","",""
"11.05948820","47.43888750","1765.48","18","2","DID","ground litter","weide","1","10","3","Morten","tal hinter hochalm","11.0594882","47.4388875","4.000","1765.48","2.401","2023-06-02T11:14:40","",""
"11.05949140","47.43889080","1765.56","19","1","lam","twigs","weide","1","20","3","Morten","tal hinter hochalm","11.0594914","47.4388908","4.860","1765.56","2.846","2023-06-02T11:17:20","",""
"11.05948600","47.43888210","1765.29","20","1","DID","aerial litter","gras","0","20","3","Morten","tal hinter hochalm","11.059486","47.4388821","3.764","1765.29","2.749","2023-06-02T11:19:08","",""
"11.05948340","47.43887660","1765.47","21","1","PHYals","twigs","weide","1","30","3","Morten","tal hinter hochalm","11.0594834","47.4388766","4.396","1765.47","2.735","2023-06-02T11:20:09","",""
