"";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector"
"1";6,7;3,1;5,6;2,4;"virginica";"Olaf Maifrend-Sergei"
"2";7;3,2;4,7;1,4;"versicolor";"Olaf Maifrend-Sergei"
"3";5;3,5;1,3;0,3;"setosa";"Olaf Maifrend-Sergei"
"4";5,8;2,7;4,1;1;"versicolor";"Olaf Maifrend-Sergei"
"5";4,8;3,1;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"6";6;2,9;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei"
"7";5,7;2,8;4,5;1,3;"versicolor";"Olaf Maifrend-Sergei"
"8";5;3,6;1,4;0,2;"setosa";"Olaf Maifrend-Sergei"
"9";5;3,3;1,4;0,2;"setosa";"Olaf Maifrend-Sergei"
"10";6,5;3;5,8;2,2;"virginica";"Olaf Maifrend-Sergei"
"11";6,7;3,3;5,7;2,5;"virginica";"Olaf Maifrend-Sergei"
"12";6;3,4;4,5;1,6;"versicolor";"Olaf Maifrend-Sergei"
"13";6,7;3,3;5,7;2,1;"virginica";"Olaf Maifrend-Sergei"
"14";6;2,7;5,1;1,6;"versicolor";"Olaf Maifrend-Sergei"
"15";5,1;3,5;1,4;0,3;"setosa";"Olaf Maifrend-Sergei"
"16";6,9;3,2;5,7;2,3;"virginica";"Olaf Maifrend-Sergei"
"17";5,9;3;4,2;1,5;"versicolor";"Olaf Maifrend-Sergei"
"18";5;3,4;1,6;0,4;"setosa";"Olaf Maifrend-Sergei"
"19";5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"20";5,7;2,5;5;2;"virginica";"Olaf Maifrend-Sergei"
"21";5,5;2,4;3,7;1;"versicolor";"Olaf Maifrend-Sergei"
"22";6,4;2,9;4,3;1,3;"versicolor";"Olaf Maifrend-Sergei"
"23";6,2;2,8;4,8;1,8;"virginica";"Olaf Maifrend-Sergei"
"24";6,3;2,8;5,1;1,5;"virginica";"Olaf Maifrend-Sergei"
"25";5;2;3,5;1;"versicolor";"Olaf Maifrend-Sergei"
"26";5,7;3,8;1,7;0,3;"setosa";"Olaf Maifrend-Sergei"
"27";6,7;3,1;4,4;1,4;"versicolor";"Olaf Maifrend-Sergei"
"28";6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei"
"29";5,5;2,6;4,4;1,2;"versicolor";"Olaf Maifrend-Sergei"
"30";6,1;2,9;4,7;1,4;"versicolor";"Olaf Maifrend-Sergei"
"31";5,8;2,7;5,1;1,9;"virginica";"Olaf Maifrend-Sergei"
"32";6,3;3,3;6;2,5;"virginica";"Olaf Maifrend-Sergei"
"33";5,7;3;4,2;1,2;"versicolor";"Olaf Maifrend-Sergei"
"34";7,7;3;6,1;2,3;"virginica";"Olaf Maifrend-Sergei"
"35";5,9;3,2;4,8;1,8;"versicolor";"Olaf Maifrend-Sergei"
"36";6,9;3,1;5,4;2,1;"virginica";"Olaf Maifrend-Sergei"
"37";5,6;2,5;3,9;1,1;"versicolor";"Olaf Maifrend-Sergei"
"38";6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei"
"39";6,4;2,7;5,3;1,9;"virginica";"Olaf Maifrend-Sergei"
"40";5,5;2,3;4;1,3;"versicolor";"Olaf Maifrend-Sergei"
"41";5,9;3;5,1;1,8;"virginica";"Olaf Maifrend-Sergei"
"42";4,6;3,4;1,4;0,3;"setosa";"Olaf Maifrend-Sergei"
"43";6;3;4,8;1,8;"virginica";"Olaf Maifrend-Sergei"
"44";5,3;3,7;1,5;0,2;"setosa";"Olaf Maifrend-Sergei"
"45";5,6;2,8;4,9;2;"virginica";"Olaf Maifrend-Sergei"
"46";6,1;2,8;4;1,3;"versicolor";"Olaf Maifrend-Sergei"
"47";5,2;2,7;3,9;1,4;"versicolor";"Olaf Maifrend-Sergei"
"48";5,2;4,1;1,5;0,1;"setosa";"Olaf Maifrend-Sergei"
"49";6,1;2,6;5,6;1,4;"virginica";"Olaf Maifrend-Sergei"
"50";4,9;3;1,4;0,2;"setosa";"Olaf Maifrend-Sergei"
"51";6,4;3,2;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei"
"52";5,2;4,1;1,5;0,1;"setosa";"Olaf Maifrend-Sergei"
"53";5,6;2,8;4,9;2;"virginica";"Olaf Maifrend-Sergei"
"54";4,8;3;1,4;0,3;"setosa";"Olaf Maifrend-Sergei"
"55";6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei"
"56";5,4;3,4;1,7;0,2;"setosa";"Olaf Maifrend-Sergei"
"57";5,5;2,4;3,8;1,1;"versicolor";"Olaf Maifrend-Sergei"
"58";5,8;2,6;4;1,2;"versicolor";"Olaf Maifrend-Sergei"
"59";6,3;2,8;5,1;1,5;"virginica";"Olaf Maifrend-Sergei"
"60";5,5;2,4;3,7;1;"versicolor";"Olaf Maifrend-Sergei"
"61";5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"62";6,7;3,1;4,7;1,5;"versicolor";"Olaf Maifrend-Sergei"
"63";6,4;2,8;5,6;2,2;"virginica";"Olaf Maifrend-Sergei"
"64";6,5;2,8;4,6;1,5;"versicolor";"Olaf Maifrend-Sergei"
"65";5,6;2,5;3,9;1,1;"versicolor";"Olaf Maifrend-Sergei"
"66";6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei"
"67";5,4;3,4;1,7;0,2;"setosa";"Olaf Maifrend-Sergei"
"68";5,1;3,5;1,4;0,2;"setosa";"Olaf Maifrend-Sergei"
"69";5,4;3,4;1,5;0,4;"setosa";"Olaf Maifrend-Sergei"
"70";5,2;2,7;3,9;1,4;"versicolor";"Olaf Maifrend-Sergei"
"71";6,6;2,9;4,6;1,3;"versicolor";"Olaf Maifrend-Sergei"
"72";5;3,5;1,3;0,3;"setosa";"Olaf Maifrend-Sergei"
"73";7,2;3,2;6;1,8;"virginica";"Olaf Maifrend-Sergei"
"74";6,1;3;4,6;1,4;"versicolor";"Olaf Maifrend-Sergei"
"75";5;3,3;1,4;0,2;"setosa";"Olaf Maifrend-Sergei"
"76";4,8;3,1;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"77";6,7;3,1;4,4;1,4;"versicolor";"Olaf Maifrend-Sergei"
"78";7,1;3;5,9;2,1;"virginica";"Olaf Maifrend-Sergei"
"79";5,9;3;4,2;1,5;"versicolor";"Olaf Maifrend-Sergei"
"80";6,8;2,8;4,8;1,4;"versicolor";"Olaf Maifrend-Sergei"
"81";5;3,4;1,5;0,2;"setosa";"Olaf Maifrend-Sergei"
"82";6,7;3,1;5,6;2,4;"virginica";"Olaf Maifrend-Sergei"
"83";4,9;3,1;1,5;0,1;"setosa";"Olaf Maifrend-Sergei"
