"";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector"
"1";5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger"
"2";5,1;2,5;3;1,1;"versicolor";"Ollie Tabooger"
"3";6;2,2;4;1;"versicolor";"Ollie Tabooger"
"4";6,1;2,8;4,7;1,2;"versicolor";"Ollie Tabooger"
"5";5,6;3;4,1;1,3;"versicolor";"Ollie Tabooger"
"6";6,7;3,1;4,4;1,4;"versicolor";"Ollie Tabooger"
"7";4,9;3,1;1,5;0,1;"setosa";"Ollie Tabooger"
"8";5,8;2,7;5,1;1,9;"virginica";"Ollie Tabooger"
"9";5,9;3,2;4,8;1,8;"versicolor";"Ollie Tabooger"
"10";4,7;3,2;1,3;0,2;"setosa";"Ollie Tabooger"
"11";5,5;2,3;4;1,3;"versicolor";"Ollie Tabooger"
"12";6,9;3,1;4,9;1,5;"versicolor";"Ollie Tabooger"
"13";6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger"
"14";5,8;4;1,2;0,2;"setosa";"Ollie Tabooger"
"15";4,9;3,1;1,5;0,2;"setosa";"Ollie Tabooger"
"16";5;3,5;1,3;0,3;"setosa";"Ollie Tabooger"
"17";6,4;3,1;5,5;1,8;"virginica";"Ollie Tabooger"
"18";5,6;3;4,5;1,5;"versicolor";"Ollie Tabooger"
"19";6,2;2,9;4,3;1,3;"versicolor";"Ollie Tabooger"
"20";7,6;3;6,6;2,1;"virginica";"Ollie Tabooger"
"21";5,1;3,4;1,5;0,2;"setosa";"Ollie Tabooger"
"22";6,2;2,9;4,3;1,3;"versicolor";"Ollie Tabooger"
"23";6,2;2,8;4,8;1,8;"virginica";"Ollie Tabooger"
"24";5;3;1,6;0,2;"setosa";"Ollie Tabooger"
"25";5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger"
"26";7,6;3;6,6;2,1;"virginica";"Ollie Tabooger"
"27";5,5;3,5;1,3;0,2;"setosa";"Ollie Tabooger"
"28";6,9;3,1;5,4;2,1;"virginica";"Ollie Tabooger"
"29";4,6;3,4;1,4;0,3;"setosa";"Ollie Tabooger"
"30";5,1;2,5;3;1,1;"versicolor";"Ollie Tabooger"
"31";5,1;3,8;1,5;0,3;"setosa";"Ollie Tabooger"
"32";4,9;2,5;4,5;1,7;"virginica";"Ollie Tabooger"
"33";5,9;3,2;4,8;1,8;"versicolor";"Ollie Tabooger"
"34";5,8;4;1,2;0,2;"setosa";"Ollie Tabooger"
"35";5,5;2,5;4;1,3;"versicolor";"Ollie Tabooger"
"36";6,7;3,3;5,7;2,5;"virginica";"Ollie Tabooger"
"37";5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger"
"38";5,7;2,6;3,5;1;"versicolor";"Ollie Tabooger"
"39";5,5;2,5;4;1,3;"versicolor";"Ollie Tabooger"
"40";6,5;3;5,8;2,2;"virginica";"Ollie Tabooger"
"41";5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger"
"42";5;2,3;3,3;1;"versicolor";"Ollie Tabooger"
"43";5,4;3;4,5;1,5;"versicolor";"Ollie Tabooger"
"44";5,5;2,4;3,7;1;"versicolor";"Ollie Tabooger"
"45";5,4;3,4;1,5;0,4;"setosa";"Ollie Tabooger"
"46";6,3;3,3;4,7;1,6;"versicolor";"Ollie Tabooger"
"47";5,8;2,7;3,9;1,2;"versicolor";"Ollie Tabooger"
"48";4,6;3,1;1,5;0,2;"setosa";"Ollie Tabooger"
"49";6;2,2;4;1;"versicolor";"Ollie Tabooger"
"50";7,4;2,8;6,1;1,9;"virginica";"Ollie Tabooger"
"51";4,8;3,4;1,9;0,2;"setosa";"Ollie Tabooger"
"52";5,6;2,7;4,2;1,3;"versicolor";"Ollie Tabooger"
"53";5,5;4,2;1,4;0,2;"setosa";"Ollie Tabooger"
"54";6,1;3;4,9;1,8;"virginica";"Ollie Tabooger"
"55";6,8;2,8;4,8;1,4;"versicolor";"Ollie Tabooger"
"56";4,8;3,1;1,6;0,2;"setosa";"Ollie Tabooger"
"57";6,4;2,8;5,6;2,1;"virginica";"Ollie Tabooger"
"58";4,8;3,4;1,6;0,2;"setosa";"Ollie Tabooger"
"59";4,8;3,1;1,6;0,2;"setosa";"Ollie Tabooger"
"60";5,3;3,7;1,5;0,2;"setosa";"Ollie Tabooger"
"61";5,2;4,1;1,5;0,1;"setosa";"Ollie Tabooger"
"62";6,8;2,8;4,8;1,4;"versicolor";"Ollie Tabooger"
"63";4,7;3,2;1,6;0,2;"setosa";"Ollie Tabooger"
"64";5,6;2,5;3,9;1,1;"versicolor";"Ollie Tabooger"
"65";6,3;2,3;4,4;1,3;"versicolor";"Ollie Tabooger"
"66";5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger"
"67";5,8;4;1,2;0,2;"setosa";"Ollie Tabooger"
"68";5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger"
"69";4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger"
"70";5,5;2,6;4,4;1,2;"versicolor";"Ollie Tabooger"
"71";6,1;3;4,6;1,4;"versicolor";"Ollie Tabooger"
"72";5,4;3,4;1,7;0,2;"setosa";"Ollie Tabooger"
"73";5,7;4,4;1,5;0,4;"setosa";"Ollie Tabooger"
"74";5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger"
"75";5,2;4,1;1,5;0,1;"setosa";"Ollie Tabooger"
"76";6,4;2,7;5,3;1,9;"virginica";"Ollie Tabooger"
"77";5;3,5;1,3;0,3;"setosa";"Ollie Tabooger"
"78";5;3,5;1,3;0,3;"setosa";"Ollie Tabooger"
"79";4,5;2,3;1,3;0,3;"setosa";"Ollie Tabooger"
"80";5,4;3,4;1,7;0,2;"setosa";"Ollie Tabooger"
"81";6,8;3;5,5;2,1;"virginica";"Ollie Tabooger"
