"";"X";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector";"Sepal.Length.trans"
"1";1;4,6;3,2;1,4;0,2;"setosa";"Ahmed Adoudi";1,104
"2";2;5,6;2,8;4,9;2;"virginica";"Ahmed Adoudi";1,344
"3";3;5;3,3;1,4;0,2;"setosa";"Ahmed Adoudi";1,2
"4";4;6;2,2;5;1,5;"virginica";"Ahmed Adoudi";1,44
"5";5;6,4;3,2;4,5;1,5;"versicolor";"Ahmed Adoudi";1,536
"6";6;6,7;3,3;5,7;2,1;"virginica";"Ahmed Adoudi";1,608
"7";7;5,7;2,6;3,5;1;"versicolor";"Ahmed Adoudi";1,368
"8";8;7,2;3,2;6;1,8;"virginica";"Ahmed Adoudi";1,728
"9";9;6,3;2,5;5;1,9;"virginica";"Ahmed Adoudi";1,512
"10";10;5,7;3;4,2;1,2;"versicolor";"Ahmed Adoudi";1,368
"11";11;6,7;3,3;5,7;2,5;"virginica";"Ahmed Adoudi";1,608
"12";12;4,9;2,5;4,5;1,7;"virginica";"Ahmed Adoudi";1,176
"13";13;6,2;2,2;4,5;1,5;"versicolor";"Ahmed Adoudi";1,488
"14";14;5,9;3;4,2;1,5;"versicolor";"Ahmed Adoudi";1,416
"15";15;5,7;2,5;5;2;"virginica";"Ahmed Adoudi";1,368
"16";16;6,3;2,7;4,9;1,8;"virginica";"Ahmed Adoudi";1,512
"17";17;4,4;2,9;1,4;0,2;"setosa";"Ahmed Adoudi";1,056
"18";18;4,8;3,4;1,6;0,2;"setosa";"Ahmed Adoudi";1,152
"19";19;4,6;3,4;1,4;0,3;"setosa";"Ahmed Adoudi";1,104
"20";20;6,6;3;4,4;1,4;"versicolor";"Ahmed Adoudi";1,584
"21";21;5,4;3,9;1,7;0,4;"setosa";"Ahmed Adoudi";1,296
"22";22;4,8;3,4;1,9;0,2;"setosa";"Ahmed Adoudi";1,152
"23";23;5,6;2,5;3,9;1,1;"versicolor";"Ahmed Adoudi";1,344
"24";24;5,9;3;4,2;1,5;"versicolor";"Ahmed Adoudi";1,416
"25";25;6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi";1,608
"26";26;6,7;2,5;5,8;1,8;"virginica";"Ahmed Adoudi";1,608
"27";27;6,3;2,8;5,1;1,5;"virginica";"Ahmed Adoudi";1,512
"28";28;6,7;3,3;5,7;2,1;"virginica";"Ahmed Adoudi";1,608
"29";29;5;2;3,5;1;"versicolor";"Ahmed Adoudi";1,2
"30";30;6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi";1,608
"31";31;6,9;3,1;5,1;2,3;"virginica";"Ahmed Adoudi";1,656
"32";32;5,1;3,8;1,5;0,3;"setosa";"Ahmed Adoudi";1,224
"33";33;5,9;3,2;4,8;1,8;"versicolor";"Ahmed Adoudi";1,416
"34";34;5,4;3,7;1,5;0,2;"setosa";"Ahmed Adoudi";1,296
"35";35;5,6;2,7;4,2;1,3;"versicolor";"Ahmed Adoudi";1,344
"36";36;6,5;3;5,8;2,2;"virginica";"Ahmed Adoudi";1,56
"37";37;4,8;3,4;1,9;0,2;"setosa";"Ahmed Adoudi";1,152
"38";38;6,3;2,8;5,1;1,5;"virginica";"Ahmed Adoudi";1,512
"39";39;4,4;3;1,3;0,2;"setosa";"Ahmed Adoudi";1,056
"40";40;5,5;3,5;1,3;0,2;"setosa";"Ahmed Adoudi";1,32
"41";41;6,4;3,1;5,5;1,8;"virginica";"Ahmed Adoudi";1,536
"42";42;6,1;2,8;4,7;1,2;"versicolor";"Ahmed Adoudi";1,464
"43";43;7,1;3;5,9;2,1;"virginica";"Ahmed Adoudi";1,704
"44";44;4,9;3;1,4;0,2;"setosa";"Ahmed Adoudi";1,176
"45";45;6,6;2,9;4,6;1,3;"versicolor";"Ahmed Adoudi";1,584
"46";46;6;2,2;4;1;"versicolor";"Ahmed Adoudi";1,44
"47";47;5,7;3,8;1,7;0,3;"setosa";"Ahmed Adoudi";1,368
"48";48;6,4;3,2;5,3;2,3;"virginica";"Ahmed Adoudi";1,536
"49";49;5,8;2,7;5,1;1,9;"virginica";"Ahmed Adoudi";1,392
"50";50;6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi";1,608
"51";51;5;3,4;1,5;0,2;"setosa";"Ahmed Adoudi";1,2
"52";52;6,7;3,3;5,7;2,1;"virginica";"Ahmed Adoudi";1,608
"53";53;6,4;2,8;5,6;2,1;"virginica";"Ahmed Adoudi";1,536
"54";54;4,8;3;1,4;0,1;"setosa";"Ahmed Adoudi";1,152
"55";55;6;3,4;4,5;1,6;"versicolor";"Ahmed Adoudi";1,44
"56";56;6,3;3,3;6;2,5;"virginica";"Ahmed Adoudi";1,512
"57";57;7,2;3,2;6;1,8;"virginica";"Ahmed Adoudi";1,728
"58";58;5,4;3,4;1,5;0,4;"setosa";"Ahmed Adoudi";1,296
"59";59;5,7;2,8;4,1;1,3;"versicolor";"Ahmed Adoudi";1,368
"60";60;5,6;2,5;3,9;1,1;"versicolor";"Ahmed Adoudi";1,344
"61";61;5;3,2;1,2;0,2;"setosa";"Ahmed Adoudi";1,2
"62";62;6,7;3;5,2;2,3;"virginica";"Ahmed Adoudi";1,608
"63";63;5,5;4,2;1,4;0,2;"setosa";"Ahmed Adoudi";1,32
"64";64;5,1;3,8;1,5;0,3;"setosa";"Ahmed Adoudi";1,224
"65";65;4,6;3,6;1;0,2;"setosa";"Ahmed Adoudi";1,104
"66";66;5,7;2,5;5;2;"virginica";"Ahmed Adoudi";1,368
"67";67;5,4;3,4;1,7;0,2;"setosa";"Ahmed Adoudi";1,296
"68";68;5,4;3,9;1,7;0,4;"setosa";"Ahmed Adoudi";1,296
"69";69;5;3,4;1,5;0,2;"setosa";"Ahmed Adoudi";1,2
"70";1;4,9;3,1;1,5;0,2;"setosa";"Anita Bath";1,176
"71";2;5,7;2,8;4,5;1,3;"versicolor";"Anita Bath";1,368
"72";3;5,8;2,8;5,1;2,4;"virginica";"Anita Bath";1,392
"73";4;5,7;3,8;1,7;0,3;"setosa";"Anita Bath";1,368
"74";5;7,2;3,2;6;1,8;"virginica";"Anita Bath";1,728
"75";1;6;2,2;5;1,5;"virginica";"Ima Weiner";1,44
"76";2;6,4;2,7;5,3;1,9;"virginica";"Ima Weiner";1,536
"77";3;6,9;3,1;4,9;1,5;"versicolor";"Ima Weiner";1,656
"78";4;5,5;2,4;3,7;1;"versicolor";"Ima Weiner";1,32
"79";5;5,5;2,6;4,4;1,2;"versicolor";"Ima Weiner";1,32
"80";6;4,9;3,1;1,5;0,2;"setosa";"Ima Weiner";1,176
"81";7;4,8;3;1,4;0,1;"setosa";"Ima Weiner";1,152
"82";8;5,4;3,4;1,5;0,4;"setosa";"Ima Weiner";1,296
"83";9;5,1;3,3;1,7;0,5;"setosa";"Ima Weiner";1,224
"84";10;4,8;3,1;1,6;0,2;"setosa";"Ima Weiner";1,152
"85";11;5,5;2,4;3,8;1,1;"versicolor";"Ima Weiner";1,32
"86";12;4,9;3,1;1,5;0,2;"setosa";"Ima Weiner";1,176
"87";13;6,7;2,5;5,8;1,8;"virginica";"Ima Weiner";1,608
