"X","Y","Z","Accession","Box","Name","Sub_species","Sub_type","liveSub","Height_cm","Snow_m","Collector","Location","Longitude","Latitude","xy_error","Elevation","z_error","Date","Remark","Attachments"
"11.06019060","47.44577790","1753.67","1","1","???","Heidelbeere","herbs","1","10","999","Leonie Vogelsang","Längenfelder","","","3.957","1753.67","2.207","2023-06-01T13:42:37","",""
"11.06010100","47.44566590","1753.93","2","2","???","Heidelbeere","herbs","1","15","999","Leonie Vogelsang","Längenfelder","","","5.014","1753.93","3.703","2023-06-01T13:43:07","",""
"11.06012620","47.44572420","1758.89","3","2","???","Heidelbeere","herbs","1","10","999","Leonie Vogelsang","Längenfelder","","","4.245","1758.89","2.000","2023-06-01T13:58:18","",""
"11.06016370","47.44554180","1759.80","4","2","???","Heidelbeere","herbs","1","15","","Leonie Vogelsang","Längenfelder","","","3.776","1759.8","2.000","2023-06-01T13:59:42","",""
"11.06015090","47.44556330","1760.47","5","2","???","Bewimperte Alpenrose","herbs","1","5","999","Leonie Vogelsang","Längenfelder","","","3.900","1760.47","2.008","2023-06-01T14:10:11","",""
"11.06018070","47.44548930","1762.61","6","1","???","Bewimperte Alpenrose","branches","1","40","999","Leonie Vogelsang","Längenfelder","","","3.900","1762.61","2.005","2023-06-01T14:15:31","",""
"11.06019790","47.44549860","1762.78","7","1","???","Bewimperte Alpenrose","branches","1","20","999","Leonie Vogelsang","Längenfelder","","","3.900","1762.78","2.004","2023-06-01T14:25:11","",""
"11.06020060","47.44549770","1762.95","8","1","???","Bewimperte Alpenrose","branches","1","15","999","Leonie Vogelsang","Längenfelder","","","3.900","1762.95","2.009","2023-06-01T14:25:58","",""
"11.06018670","47.44548550","1762.45","9","1","???","Bewimperte Alpenrose","branches","1","10","999","Leonie Vogelsang","Längenfelder","","","3.897","1762.45","2.003","2023-06-01T14:28:05","",""
"11.06017780","47.44550490","1763.31","10","1","???","Bewimperte Alpenrose","branches","1","10","999","Leonie Vogelsang","Längenfelder","","","3.900","1763.31","2.001","2023-06-01T14:29:53","",""
"11.06014860","47.44550800","1762.65","11","1","???","Bewimperte Alpenrose","branches","1","20","999","Leonie Vogelsang","Längenfelder","","","3.900","1762.65","2.000","2023-06-01T14:36:30","",""
"11.06015630","47.44550410","1762.36","12","1","???","Bewimperte Alpenrose","branches","1","30","999","Leonie Vogelsang","Längenfelder","","","4.013","1762.36","2.001","2023-06-01T14:37:52","",""
"11.06016120","47.44550050","1762.01","13","1","???","Bewimperte Alpenrose","branches","1","25","999","Leonie Vogelsang","Längenfelder","","","3.900","1762.01","2.000","2023-06-01T14:44:19","",""
"11.06016580","47.44550050","1761.93","14","1","???"," Bewimperte Alpenrose","branches","1","25","999","Leonie Vogelsang","Längenfelder","","","3.900","1761.93","2.000","2023-06-01T14:45:40","",""
"11.06016880","47.44549830","1760.43","15","1","???","Bewimperte Alpenrose","branches","1","30","999","Leonie Vogelsang","Längenfelder","","","3.900","1760.43","2.000","2023-06-01T14:48:44","",""
"11.06019000","47.44549360","1760.91","16","1","???","Bewimperte Alpenrose","branches","1","30","999","Leonie Vogelsang","Längenfelder","","","4.497","1760.91","2.000","2023-06-01T14:50:38","",""
"11.06017980","47.44549740","1761.52","17","1","???","Bewimperte Alpenrose","branches","1","20","999","Leonie Vogelsang","Längenfelder","","","3.777","1761.52","2.000","2023-06-01T14:53:04","",""
"11.06014480","47.44521190","1767.49","18","1","???","Bewimperte Alpenrose","leaf","1","20","999","Leonie Vogelsang","Längenfelder","","","4.189","1767.49","2.051","2023-06-01T15:01:50","",""
"11.06189290","47.44194590","1696.82","19","1","Diderma","Bewimperte Alpenrose","leaf","1","30","999","Leonie Vogelsang","Längenfelder","","","3.900","1696.82","2.147","2023-06-02T09:44:59","Richtige Location: Weg zur Hochalm Südhang",""
"11.06188390","47.44195670","1697.56","20","2","Lepidoderma","Bewimperte Alpenrose","branches","1","25","999","Leonie Vogelsang","Längenfelder","","","3.900","1697.56","2.000","2023-06-02T09:44:32","Richtige Location: Weg zur Hochalm Südhang",""
"11.06181840","47.44200390","1699.25","21","1","Diderma","Bewimperte Alpenrose","twigs","1","20","999","Leonie Vogelsang","Längenfelder","","","3.900","1699.25","2.000","2023-06-02T09:47:27","Richtige Location: Weg zur Hochalm Südhang",""
"11.06187390","47.44195820","1699.70","22","1","Diderma","Bewimperte Alpenrose","twigs","1","20","999","Leonie Vogelsang","Längenfelder","","","4.269","1699.7","2.001","2023-06-02T09:52:26","Richtige Location: Weg zur Hochalm Südhang",""
"11.06186690","47.44198280","1700.28","23","1","Lampidoderma","Bewimperte Alpenrose","leaf","1","10","999","Leonie Vogelsang","Längenfelder","","","3.900","1700.28","2.004","2023-06-02T09:56:04","Eigentliche Location: Weg zur Hochalm Südhang; Kommt auf Blättern und kurz unterhalb der Blätter auf dem Stöckchen vor",""
"11.06185600","47.44197280","1699.26","24","1","Lampidoderma","Heidelbeere","twigs","1","10","999","Leonie Vogelsang","Längenfelder","","","3.900","1699.26","2.000","2023-06-02T09:59:38","Richtige Location: Weg zur Hochalm Südhang",""
"11.06172480","47.44193300","1701.56","25","1","Diderma","Bewimperte Alpenrose","twigs","1","50","999","Leonie Vogelsang","Längenfelder","","","3.796","1701.56","2.315","2023-06-02T10:08:56","Richtige Location: Weg zur Hochalm Südhang; twigs und leaf",""
"11.06174020","47.44195880","1701.96","26","1","Diderma","Bewimperte Alpenrose","twigs","1","60","","Leonie Vogelsang","Längenfelder","","","4.450","1701.96","2.356","2023-06-02T10:11:18","Richtige Location: Weg zur Hochalm Südhang",""
"11.05963120","47.43872080","1776.03","27","1","Diderma","Alpenglöckchen","herbs","1","0","10","Leonie Vogelsang","Längenfelder","","","3.910","1776.03","2.777","2023-06-02T10:42:02","Richtige Location: Tälchen nahe Hochalm",""
"11.05962070","47.43868620","1772.67","28","1","Diderma","Zwergweide","twigs","1","20","10","Leonie Vogelsang","Längenfelder","","","3.900","1772.67","2.057","2023-06-02T10:46:01","Richtige Location: Tälchen nahe Hochalm",""
"11.05962130","47.43868980","1772.33","29","1","Diderma","Zwergweide","twigs","1","20","10","Leonie Vogelsang","Längenfelder","","","3.900","1772.33","2.109","2023-06-02T10:46:17","Richtige Location: Tälchen nahe Hochalm",""
"11.05961650","47.43869290","1772.34","30","1","Diderma","Zwergweide","twigs","1","10","10","Leonie Vogelsang","Längenfelder","","","3.900","1772.34","2.081","2023-06-02T10:46:59","Richtige Location: Tälchen nahe Hochalm",""
"11.05962430","47.43869390","1772.47","31","1","Diderma","Gras","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","3.899","1772.47","2.046","2023-06-02T10:47:50","Richtige Location: Tälchen nahe Hochalm",""
"11.05962340","47.43870460","1772.80","32","1","Diderma","Gras","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","3.900","1772.8","2.034","2023-06-02T10:49:32","Richtige Location: Tälchen nahe Hochalm",""
"11.05961190","47.43867580","1771.87","33","1","Diderma","?","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","3.900","1771.87","2.035","2023-06-02T10:52:27","Richtige Location: Tälchen nahe Hochalm",""
"11.05959090","47.43870050","1771.99","34","1","Diderma","?","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","3.900","1771.99","2.068","2023-06-02T10:54:05","Richtige Location: Tälchen nahe Hochalm",""
"11.05958230","47.43870790","1771.51","35","1","Diderma","?","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","6.705","1771.51","2.260","2023-06-02T10:55:40","Richtige Location: Tälchen nahe Hochalm",""
"11.05960970","47.43870390","1771.83","36","1","Diderma","?","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","3.900","1771.83","2.170","2023-06-02T10:57:12","Richtige Location: Tälchen nahe Hochalm",""
"11.05962010","47.43869940","1771.66","37","1","Diderma","Gras","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","3.900","1771.66","2.147","2023-06-02T10:59:19","Richtige Location: Tälchen nahe Hochalm",""
"11.05961540","47.43869690","1771.26","38","1","Diderma","Zwergweide","twigs","1","5","10","Leonie Vogelsang","Längenfelder","","","3.900","1771.26","2.355","2023-06-02T11:01:45","Richtige Location: Tälchen nahe Hochalm",""
"11.05962490","47.43868050","1771.73","39","1","Diderma","Gras","ground litter","0","5","10","Leonie Vogelsang","Längenfelder","","","3.900","1771.73","2.272","2023-06-02T11:03:05","Richtige Location: Tälchen nahe Hochalm",""
"11.05962010","47.43867820","1771.50","40","1","Diderma","Gras","ground litter","0","5","10","Leonie Vogelsang","Längenfelder","","","11.656","1771.5","2.382","2023-06-02T11:04:34","Richtige Location: Tälchen nahe Hochalm",""
"11.05954230","47.43876800","1769.94","41","1","Diderma","Gras","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","5.658","1769.94","2.546","2023-06-02T11:11:15","Richtige Location: Tälchen nahe Hochalm",""
"11.05952540","47.43874390","1769.91","42","1","Diderma","Gras","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","3.900","1769.91","2.540","2023-06-02T11:12:02","Richtige Location: Tälchen nahe Hochalm",""
"11.05955980","47.43872800","1769.47","43","1","Diderma","?","ground litter","0","0","10","Leonie Vogelsang","Längenfelder","","","6.822","1769.47","2.586","2023-06-02T11:14:02","Richtige Location: Tälchen nahe Hochalm",""
"11.05935080","47.43884920","1768.56","44","1","Diderma","Zwergweide","twigs","1","5","10","Leonie Vogelsang","Längenfelder","","","10.909","1768.56","2.575","2023-06-02T11:17:04","Richtige Location: Tälchen nahe Hochalm",""
"11.05955020","47.43874090","1769.09","45","1","Diderma","Zwergweide","twigs","1","5","10","Leonie Vogelsang","Längenfelder","","","3.900","1769.09","2.509","2023-06-02T11:18:40","Richtige Location: Tälchen nahe Hochalm",""
"11.05954810","47.43874780","1769.50","46","1","Diderma","Zwergweide","twigs","1","5","10","Leonie Vogelsang","Längenfelder","","","3.900","1769.5","2.169","2023-06-02T11:19:49","Richtige Location: Tälchen nahe Hochalm",""
"11.06011990","47.43423380","1833.77","47","1","Diderma","Bewimperte Alpenrose","leaf","1","15","1","Leonie Vogelsang","Längenfelder","","","4.042","1833.77","4.215","2023-06-02T11:51:33","Richtige Location: Weg zur Alpspitze",""
"11.06011860","47.43422160","1831.74","48","1","Diderma","Gras","ground litter","0","0","1","Leonie Vogelsang","Längenfelder","","","3.900","1831.74","2.133","2023-06-02T11:53:50","Richtige Location: Weg zur Alpspitze",""
"11.06012580","47.43422740","1831.44","49","1","Diderma","Bewimperte Alpenrose","leaf","1","10","1","Leonie Vogelsang","Längenfelder","","","3.900","1831.44","2.030","2023-06-02T11:55:11","Richtige Location: Weg zur Alpspitze",""
"11.06016570","47.43421300","1831.52","50","1","Diderma","Gras","ground litter","0","0","1","Leonie Vogelsang","Längenfelder","","","7.609","1831.52","2.018","2023-06-02T11:57:12","Richtige Location: Weg zur Alpspitze",""
"11.06014520","47.43424400","1831.58","51","1","Diderma","Gras","ground litter","0","0","1","Leonie Vogelsang","Längenfelder","","","3.900","1831.58","2.065","2023-06-02T11:59:35","Richtige Location: Weg zur Alpspitze",""
"11.06014000","47.43424220","1831.99","52","1","Diderma","?","twigs","1","0","1","Leonie Vogelsang","Längenfelder","","","3.900","1831.99","2.073","2023-06-02T12:01:05","Richtige Location: Weg zur Alpspitze",""
"11.06012630","47.43421790","1832.09","53","1","Diderma","?","ground litter","0","0","1","Leonie Vogelsang","Längenfelder","","","3.900","1832.09","2.005","2023-06-02T12:03:12","Richtige Location: Weg zur Alpspitze",""
"11.06014150","47.43423090","1832.11","54","1","Diderma","Bewimperte Alpenrose","leaf","1","10","1","Leonie Vogelsang","Längenfelder","","","3.900","1832.11","2.004","2023-06-02T12:05:43","Richtige Location: Weg zur Alpspitze",""
"11.06012880","47.43423570","1832.29","55","1","Diderma","Gras","ground litter","0","0","1","Leonie Vogelsang","Längenfelder","","","3.900","1832.29","2.016","2023-06-02T12:07:52","Richtige Location: Weg zur Alpspitze",""
"11.06012470","47.43423430","1832.72","56","1","Diderma","?","ground litter","0","0","0","Leonie Vogelsang","Längenfelder","","","3.900","1832.72","2.029","2023-06-02T12:09:52","Richtige Location: Weg zur Alpspitze",""
