"X","Y","Z","Number","Box","Name","Sub_type","Sub_species","liveSub","Height_cm","Snow_m","Collector","Location","Longitude","Latitude","xy_error","Elevation","z_error","Date","Remark","Attachments"
"11.06019400","47.44578380","","1","1","?","herbs","Alpenrose?","1","10","999","Malte","Laengenfelder","11.060194","47.4457838","","","","2023-06-01T12:52:15","",""
"11.06015540","47.44581850","1757.91","2","2","DID","herbs","Alpenrose?","1","10","999","Malte","Laengenfelder","11.0601554","47.4458185","8.100","1757.91","100.000","2023-06-01T13:06:52","",""
"11.06012050","47.44580260","1759.16","3","1","LAM","herbs","Alpenrose?","1","10","999","Malte","Laengenfelder","11.0601205","47.4458026","2.000","1759.16","100.000","2023-06-01T13:04:43","",""
"11.06010630","47.44581310","1752.16","4","1","DID","herbs","Alpenrose?","1","10","999","Malte","Laengenfelder","11.0601063","47.4458131","2.500","1752.16","100.000","2023-06-01T13:37:05","",""
"11.06014960","47.44583340","1637.96","5","1","?","herbs","Alpenrose?","1","10","999","Malte","Laengenfelder","11.0601496","47.4458334","2.780","1637.96","15.724","2023-06-01T13:42:24","",""
"11.05999940","47.44501050","1769.03","6","1","DID","ground litter","","0","5","999","Malte","Laengenfelder","11.0599994","47.4450105","3.500","1769.03","100.000","2023-06-01T13:51:16","",""
"11.05997690","47.44503380","1763.16","7","1","DID","ground litter","","0","5","999","Malte","Laengenfelder","11.0599769","47.4450338","4.800","1763.16","100.000","2023-06-01T13:53:04","",""
"11.05995270","47.44509290","1766.16","8","1","DID","ground litter","","0","5","999","Malte","Laengenfelder","11.0599527","47.4450929","4.000","1766.16","100.000","2023-06-01T13:55:44","",""
"11.06000840","47.44501800","1767.16","9","1","DID","ground litter","","0","2","999","Malte","Laengenfelder","11.0600084","47.445018","5.916","1767.16","100.000","2023-06-01T13:56:49","",""
"11.05997160","47.44503500","1768.26","10","1","?","ground litter","","0","2","999","Malte","Laengenfelder","11.0599716","47.445035","7.000","1768.26","100.000","2023-06-01T13:59:54","",""
"11.06002140","47.44508780","1635.66","11","1","?","herbs","","1","20","999","Malte","Laengenfelder","11.0600214","47.4450878","10.083","1635.66","11.166","2023-06-01T14:05:03","",""
"11.06002370","47.44501610","1772.16","12","2","?","herbs","","1","20","999","Malte","Laengenfelder","11.0600237","47.4450161","5.500","1772.16","100.000","2023-06-01T14:10:37","",""
"11.05987660","47.44508140","1635.66","13","2","?","ground litter","","0","2","999","Malte","Laengenfelder","11.0598766","47.4450814","2.100","1635.66","6.729","2023-06-01T14:15:18","",""
"11.05993410","47.44508200","1635.66","14","1","?","ground litter","","0","0","999","Malte","Laengenfelder","11.0599341","47.445082","4.800","1635.66","11.911","2023-06-01T14:18:09","",""
"11.05888370","47.44435460","1637.95","15","2","?","leaf","Latsche","1","30","999","Malte","Laengenfelder","11.0588837","47.4443546","3.733","1637.95","34.279","2023-06-01T14:37:19","",""
"11.05889680","47.44438710","1812.15","16","1","?","ground litter","","0","0","999","Malte","Laengenfelder","11.0588968","47.4443871","3.916","1812.15","100.000","2023-06-01T14:42:16","",""
"11.05888410","47.44437500","1816.42","17","1","?","ground litter","","1","1","999","Malte","Laengenfelder","11.0588841","47.444375","12.500","1816.42","100.000","2023-06-01T14:48:10","",""
"11.05891560","47.44436710","1808.15","18","1","?","ground litter","","0","2","999","Malte","Laengenfelder","11.0589156","47.4443671","4.500","1808.15","100.000","2023-06-01T14:51:51","",""
"11.05889970","47.44431680","1810.09","19","3","?","branches","Latsche","1","20","999","Malte","Laengenfelder","11.0588997","47.4443168","3.416","1810.09","100.000","2023-06-01T14:53:56","",""
"11.06194860","47.44205970","1690.14","20","1","LAM","branches","Salix","1","20","999","Malte","Suedhang_Weg_zur_Hochalm","11.0619486","47.4420597","3.141","1690.14","100.000","2023-06-02T10:44:42","",""
"11.06194830","47.44205780","1690.14","21","1","LAM","branches","Salix","1","20","999","Malte","Suedhang_Weg_zur_Hochalm","11.0619483","47.4420578","3.000","1690.14","100.000","2023-06-02T10:44:34","",""
"11.06191900","47.44202330","1696.21","22","1","LAM","branches","Salix","1","30","999","Malte","Suedhang_Weg_zur_Hochalm","11.061919","47.4420233","9.100","1696.21","100.000","2023-06-02T10:44:20","",""
"11.05926800","47.43848930","1783.12","23","1","DID","branches","Bewimperte Alpenrose","1","15","2","Malte","Tal_hinter_Hochalm","11.059268","47.4384893","3.000","1783.12","100.000","2023-06-02T11:12:44","",""
"11.05926120","47.43856500","1793.12","24","1","LAM","branches","Bewimperte Alpenrose","1","15","2","Malte","Tal_hinter_Hochalm","11.0592612","47.438565","7.071","1793.12","100.000","2023-06-02T11:17:13","",""
"11.05937590","47.43857980","1792.11","25","3","DID","branches","Salix","1","30","1","Malte","Tal_hinter_Hochalm","11.0593759","47.4385798","8.400","1792.11","100.000","2023-06-02T11:12:18","",""
"11.06014060","47.43427960","1839.10","26","2","DID","ground litter","","0","0","1","Malte","Weg_zur_Alpspitz","11.0601406","47.4342796","3.688","1839.1","100.000","2023-06-02T11:49:15","",""
"11.06017100","47.43424060","1843.10","27","1","DID","mosses","","1","0","1","Malte","Weg_zur_Alpspitz","11.060171","47.4342406","5.000","1843.1","100.000","2023-06-02T11:57:13","",""
