"X","Y","Z","Accession","Box","Name","Sub_type","Sub_species","liveSub","Height_cm","Snow_m","Collector","Location","Longitude","Latitude","xy_error","Elevation","z_error","Date","Remark","Attachments"
"11.06020400","47.44577830","1754.31","1","1","Pol","herbs","Heidelbeere","1","10","999","Melina Schulz","Laengenfelder","11.060204","47.4457783","3.900","1754.31","2.500","2023-06-01T12:48:40","",""
"11.05993900","47.44582280","1765.34","2","1","???","herbs","Heidelbeere","1","20","999","Melina Schulz","Laengenfelder","11.059939","47.4458228","3.886","1765.34","2.500","2023-06-01T13:44:41","",""
"11.05990990","47.44585490","1635.66","3","1","Pol","herbs","Heidelbeere","1","25","999","Melina Schulz","Laengenfelder","11.0599099","47.4458549","3.900","1635.66","17.576","2023-06-01T13:49:43","",""
"11.05929700","47.44498850","1801.07","4","1","Pol","herbs","Heidelbeere","1","25","999","Melina Schulz","Laengenfelder","11.059297","47.4449885","3.900","1801.07","2.500","2023-06-01T14:10:44","",""
"11.06205670","47.44200570","1691.91","5","1","Lam","herbs","Ahorn","1","10","999","Melina Schulz","Weg zur Hochalm","11.0620567","47.4420057","3.900","1691.91","2.500","2023-06-02T09:45:34","",""
"11.05955330","47.43855980","1783.82","6","1","Pol","herbs","Bewimperte Alpenrose","0","15","1","Melina Schulz","Tälchennahe Hochalm","11.0595533","47.4385598","3.868","1783.82","2.500","2023-06-02T21:06:55","No Myxo",""
"11.05955040","47.43855370","1780.81","7","1","Pol","herbs","Bewimperte Alpenrose","1","20","1","Melina Schulz","Tälchennahe Hochalm","11.0595504","47.4385537","3.850","1780.81","2.500","2023-06-02T21:07:41","No Myxo",""
"11.05952980","47.43858750","1776.92","8","1","Pol","herbs","Bewimperte Alpenrose","1","5","2","Melina Schulz","Tälchennahe Hochalm","11.0595298","47.4385875","5.443","1776.92","6.513","2023-06-02T21:07:59","No Myxo",""
"11.05937470","47.43862140","1775.90","9","1","Did","herbs","Bewimperte Alpenrose","1","30","3","Melina Schulz","Tälchennahe Hochalm","11.0593747","47.4386214","3.668","1775.9","2.500","2023-06-02T10:54:11","",""
"11.05934340","47.43864260","1762.25","10","1","Did","herbs","Bewimperte Alpenrose","1","20","3","Melina Schulz","Tälchennahe Hochalm","11.0593434","47.4386426","5.089","1762.25","2.500","2023-06-02T10:58:07","",""
"11.05940850","47.43856410","1785.74","11","1","Did","herbs","Weide","1","50","5","Melina Schulz","Tälchennahe Hochalm","11.0594085","47.4385641","4.060","1785.74","4.092","2023-06-02T11:01:46","",""
"11.06087050","47.43427390","1829.39","12","1","Did","herbs","Grass","1","1","1","Melina Schulz","Aussicht Alpspitz","11.0608705","47.4342739","3.955","1829.39","2.500","2023-06-02T12:20:55","",""
"11.06089270","47.43425970","1830.16","13","1","Did","herbs","Bewimperte Alpenrose","1","10","","Melina Schulz","Aussicht Alpspitz","11.0608927","47.4342597","4.177","1830.16","3.842","2023-06-02T12:22:23","",""
"11.06092008","47.43433155","","14","1","Did","herbs","","1","15","1","Melina Schulz","Aussicht Alpspitz","11.06092008","47.43433155","","","","2023-06-02T12:23:16","",""
"11.06092457","47.43431945","","15","1","Did","herbs","Grass","1","1","2","Melina Schulz","Aussicht Alpspitz","11.06092457","47.43431945","","","","2023-06-02T12:23:39","",""
"11.04948330","47.43788120","2052.82","16","1","Did","ground litter","Grass","0","5","999","Melina Schulz","Hang oberhalb Osterfelder Kopf","11.0494833","47.4378812","3.884","2052.82","2.500","2023-06-02T15:07:23","",""
"11.05537750","47.43987710","1906.35","17","1","???","ground litter","Grass","0","5","1","Melina Schulz","Osterfelder","11.0553775","47.4398771","3.845","1906.35","2.500","2023-06-02T16:53:03","",""
"11.05536760","47.43989780","1906.82","18","1","???","ground litter","Grass","0","5","1","Melina Schulz","Osterfelder","11.0553676","47.4398978","4.482","1906.82","2.500","2023-06-02T16:59:10","",""
"11.05537940","47.43987810","1907.14","19","1","Lam","herbs","???","1","20","2","Melina Schulz","Osterfelder","11.0553794","47.4398781","3.696","1907.14","2.500","2023-06-02T16:59:49","",""
"11.05537550","47.43990080","1906.27","20","1","Did","herbs","Bewimperte Alpenrose","1","30","2","Melina Schulz","Osterfelder","11.0553755","47.4399008","4.026","1906.27","2.500","2023-06-02T17:06:59","",""
"11.05538680","47.43989460","1909.00","21","1","Did","herbs","???","1","30","4","Melina Schulz","Osterfelder","11.0553868","47.4398946","3.796","1909.0","2.500","2023-06-02T17:11:14","",""
"11.05536040","47.43989120","1906.59","22","1","Did","herbs","Bewimperte Alpenrose","1","40","5","Melina Schulz","Osterfelder","11.0553604","47.4398912","3.834","1906.59","2.500","2023-06-02T17:12:05","",""
"11.05729480","47.44169810","1889.04","23","1","Did","herbs","Bewimperte Alpenrose","1","15","999","Melina Schulz","Kleine Wiese bei Längenfelder Kopf","11.0572948","47.4416981","3.900","1889.04","2.500","2023-06-03T10:55:29","",""
"11.05729700","47.44169570","1889.83","24","1","Did","ground litter","Grass","0","1","999","Melina Schulz","Kleine Wiese bei Längenfelder Kopf","11.057297","47.4416957","3.900","1889.83","2.500","2023-06-03T10:56:23","",""
"11.05729180","47.44170160","1891.50","25","1","Did","herbs","Bewimperte Alpenrose","1","15","999","Melina Schulz","Kleine Wiese bei Längenfelder Kopf","11.0572918","47.4417016","3.886","1891.5","2.500","2023-06-03T10:57:08","",""
