"X","Y","Z","Number","Box","Name","Sub_type","Sub_species","liveSub","Height_cm","Snow_m","Collector","Location","Longitude","Latitude","xy_error","Elevation","z_error","Date","Remark","Attachments"
"11.06024330","47.44578170","1708.36","1","1","LEP","ground litter","Kiefer","0","15","999","Rose","Laengenfelder ","11.0602433","47.4457817","3.900","1708.36","7.800","2023-06-01T12:57:42","",""
"11.05886000","47.44562170","1744.36","2","2","LAM","herbs","Alpenrose? ","1","30","999","Rose","Laengenfelder ","11.05886","47.4456217","3.900","1744.36","7.800","2023-06-01T21:12:03","",""
"11.05884660","47.44565250","1637.96","3","1","?","herbs","Heidelbeere? ","1","15","999","Rose","Laengenfelder ","11.0588466","47.4456525","6.250","1637.96","18.988","2023-06-01T14:44:46","",""
"11.05879850","47.44559520","1742.45","4","1","?","ground litter","herbal/grass","0","5","999","Rose","Laengenfelder ","11.0587985","47.4455952","3.900","1742.45","7.800","2023-06-01T15:10:08","",""
"11.05855220","47.44537360","1733.19","5","1","DID? ","ground litter","Kiefer?","0","1","999","Rose","Laengenfelder ","11.0585522","47.4453736","8.400","1733.19","14.800","2023-06-01T15:20:29","",""
"11.05859380","47.44546630","1755.25","6","1","?","ground litter","grass?","0","1","999","Rose","Laengenfelder ","11.0585938","47.4454663","3.900","1755.25","7.800","2023-06-01T15:28:21","",""
"11.06186120","47.44177890","1643.04","7","1","???","herbs","Bewimperte Alpenrose","1","25","999","Rose","Weg zur Hochalm am Südhang","11.0618612","47.4417789","3.660","1643.04","7.800","2023-06-02T10:08:18","",""
"11.06188260","47.44180270","1648.24","8","1","LAM","herbs","Bewimperte Alpenrose","1","30","999","Rose","Weg zur Hochalm am Südhang","11.0618826","47.4418027","3.820","1648.24","7.800","2023-06-02T10:04:37","",""
"11.06192320","47.44178950","1649.03","9","1","LAM ","herbs","bewimperte Alpenrose","1","25","999","Rose","Weg zur Hochalm am Südhang","11.0619232","47.4417895","3.900","1649.03","7.800","2023-06-02T10:09:17","",""
"11.05925000","47.43876000","1722.22","10","1","DID","herbs","Frauenmantel? ","1","1","1","Rose","Weg zur Hochalm am Südhang","11.05925","47.43876","3.878","1722.22","7.800","2023-06-02T10:42:15","",""
"11.05922440","47.43872180","1719.09","11","1","DID","ground litter","grass","0","1","1","Rose","Tälchen hinter Hochalm","11.0592244","47.4387218","4.472","1719.09","7.800","2023-06-02T10:52:36","",""
"11.05922190","47.43870020","1723.72","12","1","DID","herbs","Bewimperte Alpenrose","1","30","2","Rose","Tälchen hinter Hochalm","11.0592219","47.4387002","3.685","1723.72","7.800","2023-06-02T11:02:23","",""
"11.05910670","47.43869500","1721.32","13","1","DID","herbs","Bewimperte Alpenrose","1","30","1","Rose","Tälchen hinter Hochalm","11.0591067","47.438695","3.900","1721.32","7.800","2023-06-02T11:07:43","",""
"11.05914670","47.43886670","1745.52","14","1","DID","herbs","Bewimperte Alpenrose","1","30","1","Rose","Tälchen hinter Hochalm","11.0591467","47.4388667","3.900","1745.52","7.800","2023-06-02T11:13:22","",""
"11.05916500","47.43885830","1735.32","15","1","DID","herbs","Bewimperte Alpenrose","1","30","1","Rose","Tälchen hinter Hochalm","11.059165","47.4388583","3.900","1735.32","7.800","2023-06-02T11:14:20","",""
